ReviewID,CustomerID,ProductID,ReviewDate,Rating,ReviewText
2,80,19,25-12-2024,5,The quality is  top-notch.
8,55,8,15-08-2024,5,The quality  is top-notch.
10,78,6,17-06-2024,5,"Excellent product, highly recommend!"
13,93,6,20-08-2024,5,"Great purchase, very satisfied."
15,29,11,27-01-2023,5,"Great purchase, very satisfied."
16,95,17,6/1/2023,5,"Excellent product, highly recommend!"
21,22,15,8/4/2023,5,Amazing value for the price.
23,69,18,2/7/2023,5,Five stars for the quick delivery.
28,76,8,27-05-2025,5,Five stars for the quick delivery.
34,81,15,30-03-2024,5,"Excellent product, highly recommend!"
38,45,17,7/5/2024,5,"Great purchase, very satisfied."
39,54,1,2/10/2023,5,Customer support was very helpful.
40,33,2,3/1/2025,5,Five stars  for the quick delivery.
42,72,15,21-03-2023,5,Five stars for the quick delivery.
44,44,17,20-04-2023,5,"Excellent product,  highly recommend!"
54,33,8,3/5/2023,5,"Excellent product, highly recommend!"
72,29,4,29-05-2023,5,The  build quality is impressive.
73,68,19,5/5/2025,5,"I love this product, will buy again!"
75,22,3,13-01-2024,5,Shipping was fast and the item was well-packaged.
78,6,10,9/12/2024,5,Five stars for the quick delivery.
85,17,6,25-10-2025,5,Five stars for the quick delivery.
86,78,3,6/10/2025,5,"Excellent product, highly recommend!"
98,96,3,20-11-2025,5,Exceeded my expectations!
101,61,18,11/9/2024,5,The build quality is impressive.
102,4,2,22-08-2025,5,"Excellent product, highly recommend!"
103,82,14,17-11-2024,5,The quality is top-notch.
107,26,10,17-02-2025,5,Five stars for  the quick delivery.
108,80,17,22-12-2023,5,Five stars for the  quick delivery.
112,87,3,26-05-2023,5,"Excellent product, highly recommend!"
124,36,16,17-07-2023,5,Customer support was very helpful.
125,55,11,20-12-2025,5,"I love this product, will buy again!"
126,32,10,12/8/2024,5,Exceeded my expectations!
130,88,3,22-09-2025,5,"Great  purchase, very satisfied."
131,42,5,16-06-2023,5,Amazing value for the price.
136,17,3,27-03-2025,5,Amazing value for  the price.
138,28,15,18-01-2023,5,Five stars for the quick delivery.
141,98,9,15-10-2024,5,Amazing value for the  price.
142,15,7,4/8/2023,5,"Excellent product, highly recommend!"
150,4,15,18-06-2024,5,"I love this product, will buy  again!"
153,95,11,6/11/2023,5,Amazing value for the price.
158,37,2,16-04-2024,5,"Great purchase, very satisfied."
159,23,12,1/9/2023,5,"I love this product,  will buy again!"
156,5,7,26-01-2025,5,The build quality is impressive.
163,89,7,27-05-2023,5,The quality is top-notch.
169,26,8,28-09-2025,5,Five stars for the quick  delivery.
170,53,13,23-06-2024,5,The build quality is impressive.
173,15,16,30-05-2025,5,Customer support was very helpful.
182,21,11,8/3/2024,5,"Excellent product, highly recommend!"
188,70,5,19-09-2025,5,Exceeded my expectations!
192,42,17,4/8/2023,5,"Excellent product, highly recommend!"
195,75,5,25-10-2023,5,Amazing value for the price.
198,57,8,27-08-2023,5,Five stars for the quick delivery.
199,6,13,20-08-2024,5,The  quality is top-notch.
205,88,12,6/4/2023,5,Amazing value for the price.
202,33,9,6/9/2023,5,Amazing value for the price.
213,7,13,9/4/2024,5,Shipping was fast and  the item was well-packaged.
217,62,11,19-08-2023,5,Amazing value  for the price.
222,54,14,28-02-2024,5,Customer support was very helpful.
223,37,16,31-07-2023,5,Exceeded my expectations!
231,15,16,15-04-2025,5,Five stars for the quick delivery.
232,17,3,11/10/2025,5,Five stars for the quick delivery.
234,80,9,6/3/2023,5,The build quality is impressive.
239,45,9,28-01-2024,5,Exceeded my expectations!
240,20,16,9/11/2024,5,Five stars for the quick delivery.
236,55,16,3/3/2025,5,"Great purchase, very satisfied."
247,28,6,24-11-2025,5,"Excellent product, highly  recommend!"
252,6,6,18-03-2025,5,The build quality is  impressive.
255,13,16,23-01-2024,5,"I love this product, will buy again!"
262,45,7,7/7/2024,5,Five stars for  the quick delivery.
266,62,5,22-02-2025,5,"Excellent product,  highly recommend!"
271,21,17,8/8/2025,5,The  build quality is impressive.
272,39,17,26-03-2023,5,Shipping was fast and the item was well-packaged.
273,10,2,9/10/2024,5,Shipping was fast and the item was well-packaged.
274,93,11,7/4/2023,5,"I love this product, will buy again!"
268,98,17,28-10-2023,5,The build quality  is impressive.
276,86,1,29-01-2025,5,The quality is top-notch.
278,80,20,1/3/2023,5,Amazing value for the price.
279,86,5,21-07-2023,5,Customer support was very helpful.
